FID,MEAN,COUNT,AREA,MEAN
208,6.604992747,8,0.00005,6.604992747
209,6.127972722,8,0.00005,6.127972722
210,6.527158499,2,0.0000125,6.527158499
211,6.512208462,2,0.0000125,6.512208462
212,6.497664928,3,0.00001875,6.497664928
213,6.384604335,4,0.000025,6.384604335
214,6.326651573,6,0.0000375,6.326651573
215,5.061989212,5,0.00003125,5.061989212
216,4.673914989,6,0.0000375,4.673914989
217,4.783226569,6,0.0000375,4.783226569
218,5.09804678,4,0.000025,5.09804678
219,6.684479237,8,0.00005,6.684479237
220,6.226756016,6,0.0000375,6.226756016
221,6.480689228,8,0.00005,6.480689228
222,6.521041938,7,0.00004375,6.521041938
223,5.60211134,5,0.00003125,5.60211134
224,5.707925606,5,0.00003125,5.707925606
225,5.942426523,3,0.00001875,5.942426523
226,4.85506916,4,0.000025,4.85506916
227,4.432495785,5,0.00003125,4.432495785
228,3.393678665,2,0.0000125,3.393678665
229,3.628131437,5,0.00003125,3.628131437
230,3.643199364,3,0.00001875,3.643199364
231,3.645933151,2,0.0000125,3.645933151
232,3.434904289,5,0.00003125,3.434904289
233,3.274590969,5,0.00003125,3.274590969
234,3.67626524,1,0.00000625,3.67626524
235,6.299403954,5,0.00003125,6.299403954
236,6.363498075,7,0.00004375,6.363498075
237,6.419021606,7,0.00004375,6.419021606
